Grötzingen-Karlsruhe,,TSV Unterföhring
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kramer, Julius","3,9","11,80",0,,"Bircks, Oliver","3,8","11,85",0
"Weiss, Sverre","3,7","11,45",0,,"Isztl, Daniel","3,5","11,45",0
"Bertsch, Julian","3,4","9,60",0,,"Wolf, Sebastian","3,8","11,40",4
"Eder, Neyén Eitan","3,2","10,40",2,,"Zander, Daniel","5,1","9,95",0
Summe,,2,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Roth, Tobias","2,3","5,05",0,,"Eiglmeier, Christoph","2,6","10,30",5
"Brücher, Björn","2,6","10,00",5,,"Zander, Daniel","2,6","4,60",0
"Schneider, Sebastian","2,4","5,20",0,,"Bircks, Oliver","2,5","9,35",5
"Kramer, Julius","2,5","7,65",0,,"Wolf, Sebastian","2,5","7,55",0
Summe,,5,,Summe,,10
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Brücher, Björn","2,9","10,65",0,,"Bircks, Oliver","2,9","10,85",1
"Bertsch, Julian","2,8","9,30",0,,"Bircks, Florian","2,4","9,95",3
"Roth, Tobias","2,5","10,35",0,,"Eiglmeier, Christoph","3,3","10,75",2
"Weiss, Sverre","2,2","5,40",0,,"Zander, Daniel","4,8","11,45",10
Summe,,0,,Summe,,16
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kramer, Julius","3,2","12,00",0,,"Eiglmeier, Christoph","4,0","12,45",2
"Huber, Leo","2,4","11,15",0,,"Isztl, Daniel","4,0","12,15",3
"Brücher, Björn","2,4","11,20",0,,"Bircks, Oliver","4,0","12,45",4
"Eder, Neyén Eitan","3,2","11,80",2,,"Zander, Daniel","4,0","11,50",0
Summe,,2,,Summe,,9
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Enderle, Gerrit","2,5","11,50",0,,"Rolle, Andreas","2,7","11,40",0
"Huber, Leo","3,0","10,45",0,,"Bircks, Oliver","2,5","11,00",3
"Kramer, Julius","2,2","7,90",0,,"Isztl, Daniel","3,2","10,80",5
"Brücher, Björn","2,4","10,20",0,,"Zander, Daniel","3,8","11,85",4
Summe,,0,,Summe,,12
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Roth, Tobias","2,5","10,40",0,,"Marin Ogalla, Pablo","3,6","11,80",4
"Kramer, Julius","2,5","10,25",0,,"Isztl, Daniel","2,9","11,00",3
"Weiss, Sverre","3,1","8,60",0,,"Bircks, Oliver","2,7","10,70",5
"Brücher, Björn","2,3","6,25",0,,"Wolf, Sebastian","2,9","10,70",5
Summe,,0,,Summe,,17
Gesamt,,9,,Gesamt,,68
