KTV Hohenlohe,,USC München
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Silas","3,4","10,80",0,,"Seipl, Paul","3,3","11,00",1
"Schmidt, Micha Joel","3,7","10,95",0,,"Huber, Paul","3,3","11,05",0
"Albrecht, Jonas","3,8","11,55",0,,"Trattnig, Stephan","3,5","11,80",1
"Philippiak, Ron","3,5","11,80",0,,"Röhr, Alessio","3,4","12,10",2
Summe,,0,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Silas","2,6","9,50",0,,"Seipl, Paul","2,8","10,60",4
"Albrecht, Jonas","2,8","8,20",0,,"Huber, Paul","2,4","9,20",3
"Bogdahn, Michael","2,4","8,90",0,,"Trattnig, Stephan","2,5","10,50",4
"Pfleger, Julian","2,5","7,80",4,,"Pfinder, Moritz","2,8","6,30",0
Summe,,4,,Summe,,11
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Müller, Mario","3,0","9,65",0,,"Huber, David","2,4","10,60",3
"Philippiak, Ron","2,6","10,60",3,,"Seipl, Paul","2,4","10,00",0
"Bogdahn, Michael","2,6","10,25",0,,"Peindl, Severin","2,5","11,20",3
"Bortt, Silas","2,9","9,70",0,,"Huber, Paul","2,9","11,10",4
Summe,,3,,Summe,,10
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Jan-Moritz","3,2","12,00",0,,"Röhr, Alessio","4,0","12,30",2
"Schmidt, Micha Joel","3,2","12,30",4,,"Huber, Paul","2,8","10,95",0
"Bortt, Silas","3,2","11,85",1,,"Trattnig, Stephan","4,0","11,70",0
"Albrecht, Jonas","4,0","12,75",3,,"Albert, Felix","3,2","11,75",0
Summe,,8,,Summe,,2
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bogdahn, Michael","2,5","11,00",0,,"Huber, David","2,5","11,25",1
"Bortt, Silas","2,5","11,20",2,,"Huber, Paul","2,5","10,85",0
"Philippiak, Ron","2,9","11,30",0,,"Trattnig, Stephan","2,5","11,55",1
"Schmidt, Philipp","2,4","11,35",0,,"Albert, Felix","2,4","11,35",0
Summe,,2,,Summe,,2
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Micha Joel","2,6","10,25",1,,"Huber, David","2,4","10,00",0
"Philippiak, Ron","3,1","9,40",0,,"Albert, Felix","2,4","10,60",4
"Müller, Mario","2,4","10,75",5,,"Pfinder, Moritz","3,0","6,75",0
"Bortt, Silas","2,5","11,00",1,,"Trattnig, Stephan","2,4","10,85",0
Summe,,7,,Summe,,4
Gesamt,,24,,Gesamt,,33
