TG Allgäu,,Grötzingen-Karlsruhe
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Krapp, Kilian","4,4","11,65",2,,"Weiss, Sverre","3,9","11,20",0
"Kovacs, Marton","5,1","12,40",4,,"Kramer, Julius","3,8","11,15",0
"Urbin, Michael","3,9","12,05",0,,"Steele, Adam","5,0","13,40",4
"Eberle, Stephan","3,9","10,85",3,,"Brücher, Björn","3,1","10,25",0
Summe,,9,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","4,0","11,95",0,,"Steele, Adam","5,3","13,15",4
"Krapp, Kilian","2,7","8,30",0,,"Brücher, Björn","2,6","10,10",4
"Kovacs, Marton","5,2","11,40",4,,"Rudat, Jens","2,8","9,75",0
"Eberle, Stephan","3,7","11,15",5,,"Parkin, Nikolai","2,6","9,10",0
Summe,,9,,Summe,,8
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schreiber, Florian","3,8","10,90",2,,"Brücher, Björn","2,9","10,40",0
"Eberle, Maximilian","3,3","11,05",4,,"Huber, Leo","3,2","9,40",0
"Krapp, Kilian","3,5","11,00",0,,"Steele, Adam","3,6","11,95",3
"Eisenring, Linus","3,5","11,80",5,,"Weiss, Sverre","2,3","8,50",0
Summe,,11,,Summe,,3
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Urbin, Michael","2,8","11,25",0,,"Eder, Neyén Eitan","3,2","12,15",3
"Eberle, Stephan","4,0","12,35",0,,"Kramer, Julius","3,2","12,40",0
"Krapp, Kilian","4,4","12,90",0,,"Steele, Adam","5,2","14,00",4
"Kovacs, Marton","4,0","12,90",4,,"Schneider, Sebastian","3,2","11,40",0
Summe,,4,,Summe,,7
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eberle, Stephan","3,2","11,90",2,,"Huber, Leo","3,0","11,40",0
"Kovacs, Marton","4,3","12,65",5,,"Kramer, Julius","2,4","10,55",0
"Urbin, Stephan","3,5","11,70",0,,"Steele, Adam","5,2","11,85",1
"Krapp, Kilian","3,2","11,50",5,,"Brücher, Björn","2,4","9,40",0
Summe,,12,,Summe,,1
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Gottwald, Julian","3,2","11,40",3,,"Kramer, Julius","2,6","10,50",0
"Eisenring, Linus","2,8","11,05",0,,"Steele, Adam","4,5","13,30",5
"Urbin, Michael","3,5","11,10",3,,"Weiss, Sverre","3,2","10,10",0
"Krapp, Kilian","3,9","10,40",3,,"Brücher, Björn","2,5","9,50",0
Summe,,9,,Summe,,5
Gesamt,,54,,Gesamt,,28
