TG Allgäu,,KTV Hohenlohe
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Urbin, Michael","3,9","11,80",3,,"Philippiak, Ron","3,5","10,90",0
"Eberle, Stephan","3,9","11,10",0,,"Bickel, David","5,4","13,45",5
"Zurlini, Umberto","5,8","13,75",5,,"Schmidt, Micha Joel","3,7","10,10",0
"Krapp, Kilian","4,8","11,90",0,,"Albrecht, Jonas","3,8","11,95",0
Summe,,8,,Summe,,5
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","3,7","9,25",0,,"Bortt, Silas","2,7","10,05",3
"Zurlini, Umberto","5,1","10,75",4,,"Pfleger, Julian","2,6","9,35",0
"Urbin, Stephan","2,5","8,15",5,,"Hofmann, Benjamin","2,5","4,90",0
"Eberle, Maximilian","2,6","9,10",4,,"Bickel, David","3,6","7,50",0
Summe,,13,,Summe,,3
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","3,5","11,60",4,,"Bogdahn, Michael","2,6","9,65",0
"Viehmann, Bastian","3,5","10,65",10,,"Jauck, Joel","3,3","4,25",0
"Schreiber, Florian","3,9","10,50",3,,"Philippiak, Ron","2,6","9,95",0
"Eberle, Maximilian","3,3","10,50",2,,"Gerlach, Johannes","3,1","10,10",0
Summe,,19,,Summe,,0
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","2,2","9,10",0,,"Schmidt, Micha Joel","3,2","11,95",5
"Eberle, Stephan","4,0","12,40",4,,"Jauck, Joel","4,0","11,05",0
"Zurlini, Umberto","4,8","13,00",4,,"Bortt, Silas","3,2","11,65",0
"Krapp, Kilian","4,4","13,00",4,,"Albrecht, Jonas","4,0","11,70",0
Summe,,12,,Summe,,5
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eberle, Stephan","3,1","10,95",4,,"Bickel, David","3,8","9,75",0
"Urbin, Stephan","3,5","10,25",0,,"Bortt, Silas","2,5","11,30",4
"Zurlini, Umberto","3,9","8,05",0,,"Philippiak, Ron","2,9","11,15",5
"Krapp, Kilian","3,2","9,55",0,,"Bogdahn, Michael","2,5","10,80",4
Summe,,4,,Summe,,13
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Gottwald, Julian","3,2","11,05",4,,"Schmidt, Micha Joel","2,5","9,25",0
"Viehmann, Bastian","2,6","8,95",0,,"Philippiak, Ron","3,1","9,45",2
"Urbin, Michael","3,6","11,75",4,,"Jauck, Joel","3,3","10,60",0
"Krapp, Kilian","4,1","11,85",4,,"Bortt, Silas","2,5","10,75",0
Summe,,12,,Summe,,2
Gesamt,,68,,Gesamt,,28
