TG Allgäu,,TG Wangen-Eisenharz
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Zurlini, Umberto","5,3","12,90",3,,"Ruchti, Finn","4,1","12,05",0
"Eberle, Stephan","3,9","11,65",2,,"von Kirn, Julian","4,5","11,20",0
"Urbin, Michael","3,9","11,80",3,,"Mittmann, Moritz","3,3","11,10",0
"Krapp, Kilian","0,9","0,40",0,,"Drechsel, Manuel","4,4","12,35",10
Summe,,8,,Summe,,10
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","4,0","10,75",0,,"Kimmerle, Felix","3,1","10,90",1
"Eberle, Stephan","3,7","10,30",0,,"Schober, Pascal","3,2","10,35",0
"Zurlini, Umberto","4,7","12,65",5,,"Ruf, Elias","2,7","10,60",0
"Wiedenmann, Marlon","3,0","10,55",5,,"Mittmann, Moritz","2,8","6,75",0
Summe,,10,,Summe,,1
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eberle, Maximilian","3,3","10,75",0,,"Drechsel, Manuel","3,4","11,30",3
"Zurlini, Umberto","4,2","13,00",5,,"Merath, Stefan","3,4","10,00",0
"Eisenring, Linus","3,5","12,10",4,,"Teiber, Jakob","3,5","10,80",0
"Viehmann, Bastian","3,5","11,30",3,,"Kimmerle, Felix","3,3","10,75",0
Summe,,12,,Summe,,3
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Urbin, Michael","4,0","12,50",2,,"von Kirn, Julian","3,2","12,20",0
"Eberle, Stephan","4,0","12,55",3,,"Kimmerle, Felix","3,2","12,00",0
"Zurlini, Umberto","4,8","13,75",4,,"Ruchti, Finn","3,2","11,85",0
"Eisenring, Linus","4,0","12,55",2,,"Drechsel, Manuel","4,0","12,25",0
Summe,,11,,Summe,,0
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eberle, Stephan","3,2","11,55",2,,"Schober, Pascal","3,7","11,25",0
"Urbin, Michael","3,3","11,95",4,,"Mittmann, Moritz","3,0","10,25",0
"Zurlini, Umberto","4,7","12,80",4,,"Kimmerle, Felix","3,3","11,50",0
"Urbin, Stephan","3,5","12,30",1,,"Drechsel, Manuel","3,5","12,15",0
Summe,,11,,Summe,,0
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eisenring, Linus","3,1","11,45",3,,"Müller, Hannes","2,6","10,85",0
"Gottwald, Julian","3,0","10,85",2,,"von Kirn, Julian","2,5","10,35",0
"Urbin, Michael","3,5","11,75",4,,"Kimmerle, Felix","2,7","10,15",0
"Zurlini, Umberto","4,3","12,25",3,,"Drechsel, Manuel","3,1","11,70",0
Summe,,12,,Summe,,0
Gesamt,,64,,Gesamt,,14
