TG Wangen-Eisenharz,,KTT Heilbronn
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Mittmann, Moritz","3,3","11,80",3,,"Schaaf, Jonas","3,7","11,05",0
"Ruf, Elias","3,8","11,40",0,,"Hofmann, Jakob","3,9","12,10",3
"Drechsel, Manuel","4,0","11,70",0,,"Thiele, Moritz","3,4","11,65",0
"von Kirn, Julian","4,4","12,70",5,,"Payer, Stefan","4,0","10,20",0
Summe,,8,,Summe,,3
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","3,1","10,65",0,,"Schuster, Axel","2,9","10,90",1
"Ruf, Elias","2,7","9,80",1,,"Hofmann, Jakob","3,4","9,60",0
"Mittmann, Moritz","3,1","11,25",5,,"Thiele, Moritz","2,6","7,80",0
"Schober, Pascal","4,2","11,00",5,,"Braun, Dominik","2,9","7,40",0
Summe,,11,,Summe,,1
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Teiber, Jakob","3,5","10,50",3,,"Payer, Stefan","2,9","9,60",0
"Ruf, Elias","3,8","11,45",4,,"Schaaf, Jonas","2,8","10,35",0
"Drechsel, Manuel","3,5","10,95",4,,"Staufert, Colin","2,6","9,00",0
"Steinhauser, Nico","3,2","11,55",5,,"Storz, Patrick","2,7","7,35",0
Summe,,16,,Summe,,0
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Ruf, Elias","3,2","12,10",1,,"Binder, Julius","3,2","11,90",0
"Kimmerle, Felix","3,2","11,50",0,,"Thiele, Moritz","3,2","11,40",0
"Drechsel, Manuel","4,0","12,75",3,,"Payer, Stefan","3,2","11,90",0
"von Kirn, Julian","3,2","12,00",0,,"Hofmann, Jakob","4,0","12,55",3
Summe,,4,,Summe,,3
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","3,3","11,05",2,,"Schaaf, Jonas","2,5","10,70",0
"Drechsel, Manuel","3,8","11,10",0,,"Storz, Patrick","2,4","11,30",1
"Mittmann, Moritz","3,5","12,05",4,,"Staufert, Colin","2,4","10,45",0
"Schober, Pascal","3,7","11,15",0,,"Schuster, Axel","2,5","11,30",1
Summe,,6,,Summe,,2
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","2,7","10,90",0,,"Schaaf, Jonas","2,9","10,80",0
"von Kirn, Julian","2,5","10,75",0,,"Schuster, Axel","2,1","10,80",0
"Drechsel, Manuel","3,1","11,40",4,,"Payer, Stefan","2,6","9,90",0
"Ruf, Elias","3,0","11,05",3,,"Hofmann, Jakob","2,0","10,15",0
Summe,,7,,Summe,,0
Gesamt,,52,,Gesamt,,9
