TG Wangen-Eisenharz,,TSV Unterföhring
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"von Kirn, Julian","4,3","11,65",1,,"Bircks, Oliver","3,8","11,40",0
"Mittmann, Moritz","3,3","11,05",0,,"Isztl, Daniel","3,5","11,30",1
"Drechsel, Manuel","4,0","11,10",0,,"Miggitsch, Martin","4,6","12,45",4
"Ruchti, Finn","3,8","10,35",0,,"Wolf, Sebastian","3,9","10,60",1
Summe,,1,,Summe,,6
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","3,1","9,95",2,,"Eiglmeier, Christoph","2,6","9,45",0
"Schober, Pascal","3,4","8,00",0,,"Miggitsch, Martin","3,9","11,65",5
"Mittmann, Moritz","3,9","12,05",5,,"Bircks, Oliver","2,5","9,00",0
"Ruf, Elias","2,7","9,50",3,,"Schweiger, Samuel","3,0","8,65",0
Summe,,10,,Summe,,5
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Drechsel, Manuel","3,3","10,35",0,,"Bircks, Florian","2,4","10,30",0
"Ruf, Elias","3,5","9,75",0,,"Bircks, Oliver","2,9","10,90",4
"Teiber, Jakob","3,5","10,80",0,,"Eiglmeier, Christoph","3,3","10,90",0
"Steinhauser, Nico","3,1","11,45",0,,"Zander, Daniel","5,1","13,50",5
Summe,,0,,Summe,,9
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Ruf, Elias","4,0","11,05",0,,"Bircks, Oliver","4,0","12,60",4
"Kimmerle, Felix","4,0","12,95",2,,"Eiglmeier, Christoph","4,0","12,55",0
"von Kirn, Julian","3,2","12,20",0,,"Miggitsch, Martin","4,8","13,50",4
"Drechsel, Manuel","4,0","12,80",4,,"Bircks, Florian","4,8","11,40",0
Summe,,6,,Summe,,8
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Mittmann, Moritz","3,5","12,30",3,,"Bircks, Oliver","2,5","11,65",0
"Kimmerle, Felix","3,3","11,60",1,,"Isztl, Daniel","3,2","11,35",0
"Schober, Pascal","3,7","11,45",0,,"Zander, Daniel","3,8","12,70",4
"Drechsel, Manuel","3,5","11,90",10,,"Eiglmeier, Christoph","2,2","4,00",0
Summe,,14,,Summe,,4
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","2,7","10,40",1,,"Isztl, Daniel","2,9","10,25",0
"Drechsel, Manuel","3,1","11,05",0,,"Marin Ogalla, Pablo","3,6","12,00",3
"Ruf, Elias","3,0","11,15",2,,"Bircks, Oliver","2,8","10,85",0
"von Kirn, Julian","2,6","10,85",3,,"Wolf, Sebastian","2,9","10,30",0
Summe,,6,,Summe,,3
Gesamt,,37,,Gesamt,,35
