TSG Backnang,,TG Allgäu
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Böckheler, Urs","3,6","11,30",0,,"Krapp, Kilian","4,4","11,95",3
"Cocks, Jonathan","3,8","10,80",0,,"Urbin, Michael","3,9","11,70",3
"Kuhn, Björn","3,4","11,05",0,,"Viehmann, Bastian","3,9","11,55",2
"Sirosh, Nikita","4,4","11,75",0,,"Zurlini, Umberto","5,8","12,40",3
Summe,,0,,Summe,,11
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Wullert, Bastian","3,3","10,00",0,,"Eisenring, Linus","4,0","12,40",5
"Kuhn, Björn","2,7","10,45",0,,"Gottwald, Julian","2,8","10,45",0
"Ellinger, Florian","2,7","7,05",0,,"Krapp, Kilian","2,7","9,50",5
"Cocks, Jonathan","2,6","9,25",0,,"Zurlini, Umberto","5,3","12,50",5
Summe,,0,,Summe,,15
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bauer, Timo","2,6","9,50",0,,"Eisenring, Linus","3,5","11,80",5
"Sirosh, Nikita","3,3","9,55",0,,"Viehmann, Bastian","3,2","10,25",3
"Ellinger, Florian","3,2","10,80",1,,"Eberle, Maximilian","3,3","10,65",0
"Wullert, Bastian","2,9","10,70",0,,"Zurlini, Umberto","4,3","13,10",5
Summe,,1,,Summe,,13
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Blessing, Max","3,2","11,60",0,,"Urbin, Michael","4,0","12,15",3
"Kuhn, Björn","3,2","11,90",0,,"Eisenring, Linus","4,0","12,30",2
"Cocks, Jonathan","1,6","10,90",0,,"Zurlini, Umberto","5,2","12,90",4
"Böckheler, Urs","3,2","12,45",0,,"Krapp, Kilian","4,4","13,20",3
Summe,,0,,Summe,,12
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Dörksen, Luca","3,0","11,80",0,,"Urbin, Michael","3,3","11,90",0
"Kuhn, Björn","2,7","11,70",0,,"Krapp, Kilian","3,2","11,95",1
"Ellinger, Florian","2,5","11,50",0,,"Zurlini, Umberto","4,2","11,90",2
"Blessing, Max","3,0","11,15",2,,"Haydn, Stefan","3,4","10,65",0
Summe,,2,,Summe,,3
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kuhn, Björn","2,6","11,10",0,,"Urbin, Michael","3,5","11,90",3
"Wullert, Bastian","2,5","11,15",0,,"Zurlini, Umberto","4,3","12,15",3
"Al-Dulaimi, Yasir","3,6","11,85",0,,"Gottwald, Julian","3,2","11,75",0
"Ellinger, Florian","2,5","10,50",0,,"Krapp, Kilian","4,1","10,55",0
Summe,,0,,Summe,,6
Gesamt,,3,,Gesamt,,60
