TSV Unterföhring,,KTV Hohenlohe
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Isztl, Daniel","3,5","10,95",0,,"Schmidt, Micha Joel","3,5","11,30",2
"Bircks, Oliver","3,8","12,05",0,,"Vetter, Gino","5,1","13,25",4
"Wolf, Sebastian","3,8","10,90",2,,"Albrecht, Jonas","3,8","10,50",0
"Miggitsch, Martin","4,6","11,35",0,,"Philippiak, Ron","3,5","11,65",2
Summe,,2,,Summe,,8
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eiglmeier, Christoph","2,5","9,55",0,,"Bortt, Jan-Moritz","2,5","10,10",3
"Wolf, Sebastian","2,8","9,75",5,,"Pfleger, Julian","2,3","6,75",0
"Bircks, Oliver","2,5","9,30",0,,"Bickel, David","3,7","11,60",5
"Miggitsch, Martin","3,8","11,95",4,,"Bortt, Silas","2,6","10,45",0
Summe,,9,,Summe,,8
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eiglmeier, Christoph","3,3","10,85",0,,"Vetter, Gino","4,3","12,60",4
"Bircks, Oliver","2,9","11,20",2,,"Philippiak, Ron","2,6","10,75",0
"Zander, Daniel","5,1","12,45",5,,"Bogdahn, Michael","2,6","10,40",0
"Wolf, Sebastian","1,8","9,05",0,,"Hofmann, Benjamin","2,5","10,60",4
Summe,,7,,Summe,,8
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","4,0","12,20",1,,"Schmidt, Micha Joel","3,2","12,00",0
"Gartner, Florian","3,2","10,65",0,,"Albrecht, Jonas","4,0","11,15",2
"Eiglmeier, Christoph","4,0","12,95",0,,"Vetter, Gino","4,8","13,85",3
"Miggitsch, Martin","4,8","13,35",3,,"Philippiak, Ron","4,0","12,55",0
Summe,,4,,Summe,,5
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Isztl, Daniel","3,2","11,15",0,,"Schmidt, Philipp","2,4","11,20",0
"Bircks, Oliver","2,6","11,10",0,,"Vetter, Gino","4,4","11,35",1
"Kurzmann, Jakob","2,4","8,15",0,,"Philippiak, Ron","2,9","11,05",5
"Zander, Daniel","3,8","11,85",2,,"Bortt, Silas","2,5","11,40",0
Summe,,2,,Summe,,6
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Marin Ogalla, Pablo","3,6","11,90",4,,"Schmidt, Philipp","2,4","10,65",0
"Wolf, Sebastian","2,9","9,85",0,,"Vetter, Gino","3,2","10,40",3
"Bircks, Oliver","3,1","9,95",3,,"Philippiak, Ron","3,0","9,35",0
"Isztl, Daniel","2,9","10,85",0,,"Bortt, Silas","2,5","10,85",0
Summe,,7,,Summe,,3
Gesamt,,31,,Gesamt,,38
