TSV Unterföhring,,TG Allgäu
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Isztl, Daniel","3,5","11,65",1,,"Eberle, Stephan","3,9","11,40",0
"Wolf, Sebastian","3,8","11,30",3,,"Urbin, Michael","3,9","10,50",0
"Miggitsch, Martin","4,7","13,00",5,,"Krapp, Kilian","4,5","10,40",0
"Bircks, Oliver","3,8","11,50",0,,"Kirmes, Oskar","5,1","13,50",4
Summe,,9,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eiglmeier, Christoph","2,5","10,15",2,,"Eberle, Maximilian","2,6","9,65",0
"Schweiger, Samuel","2,4","6,30",5,,"Gottwald, Julian","2,0","3,50",0
"Bircks, Oliver","2,5","10,95",0,,"Eberle, Stephan","3,2","11,35",2
"Miggitsch, Martin","3,9","12,05",4,,"Kovacs, Marton","5,3","10,70",0
Summe,,11,,Summe,,2
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","2,9","11,55",0,,"Kirmes, Oskar","4,6","13,65",5
"Bircks, Florian","2,4","10,85",0,,"Eberle, Maximilian","3,3","10,85",0
"Eiglmeier, Christoph","3,3","11,30",2,,"Viehmann, Bastian","3,5","10,85",0
"Zander, Daniel","5,3","14,00",5,,"Schreiber, Florian","3,3","8,50",0
Summe,,7,,Summe,,5
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Miggitsch, Martin","4,8","13,65",0,,"Krapp, Kilian","4,4","13,60",0
"Bircks, Florian","4,8","13,40",0,,"Kirmes, Oskar","4,0","13,50",0
"Bircks, Oliver","4,0","12,70",3,,"Eberle, Stephan","4,0","11,90",0
"Eiglmeier, Christoph","4,0","12,90",4,,"Urbin, Michael","4,0","11,35",0
Summe,,7,,Summe,,0
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","2,5","10,00",0,,"Krapp, Kilian","3,2","12,20",5
"Isztl, Daniel","3,2","11,45",0,,"Urbin, Michael","3,3","12,00",3
"Zander, Daniel","3,8","12,65",2,,"Eberle, Stephan","3,2","12,20",0
"Rabenstein, Julius","2,5","10,20",0,,"Kirmes, Oskar","5,0","14,05",5
Summe,,2,,Summe,,13
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","3,1","11,10",0,,"Urbin, Michael","3,6","12,40",4
"Marin Ogalla, Pablo","3,6","12,55",0,,"Krapp, Kilian","4,0","12,50",0
"Isztl, Daniel","2,9","10,30",0,,"Gottwald, Julian","3,2","12,15",4
"Wolf, Sebastian","2,9","10,80",0,,"Kovacs, Marton","4,5","12,40",4
Summe,,0,,Summe,,12
Gesamt,,36,,Gesamt,,36
