USC München,,TG Wangen-Eisenharz
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Huber, Paul","3,3","11,60",3,,"Ruf, Elias","4,0","11,05",0
"Bouchi, Rayan","3,2","11,35",0,,"von Kirn, Julian","4,3","12,00",3
"Röhr, Alessio","3,4","11,80",1,,"Mittmann, Moritz","3,3","11,60",0
"Seipl, Paul","3,3","10,50",0,,"Drechsel, Manuel","4,0","12,25",4
Summe,,4,,Summe,,7
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bouchi, Rayan","2,6","10,60",0,,"Kimmerle, Felix","3,1","10,75",1
"Schnippe, Lukas","2,1","3,40",0,,"Schober, Pascal","3,5","11,90",10
"Pfinder, Moritz","2,6","9,70",0,,"Ruf, Elias","2,7","10,25",3
"Seipl, Paul","2,5","10,50",0,,"Mittmann, Moritz","3,2","11,20",3
Summe,,0,,Summe,,17
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Huber, Paul","2,4","10,25",0,,"Steinhauser, Nico","3,2","10,70",2
"Seipl, Paul","2,4","10,50",0,,"Kimmerle, Felix","3,3","10,70",1
"Peindl, Severin","2,5","10,45",0,,"Ruf, Elias","3,8","10,45",0
"Huber, David","2,5","9,15",0,,"Drechsel, Manuel","3,5","11,50",5
Summe,,0,,Summe,,8
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Röhr, Alessio","4,0","12,75",3,,"Ruf, Elias","3,2","12,20",0
"Schnippe, Lukas","3,2","12,00",0,,"Kimmerle, Felix","3,2","12,25",1
"Bouchi, Rayan","3,2","12,05",0,,"Drechsel, Manuel","4,0","12,95",3
"Albert, Felix","2,4","11,60",4,,"Ruchti, Finn","2,2","10,50",0
Summe,,7,,Summe,,4
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Huber, David","2,5","11,30",0,,"Kimmerle, Felix","3,3","11,45",1
"Huber, Paul","2,5","11,10",1,,"Schober, Pascal","3,3","10,90",0
"Hechtl, Dominik","2,5","10,90",0,,"Mittmann, Moritz","3,4","12,15",4
"Trattnig, Stephan","2,5","11,50",0,,"Drechsel, Manuel","3,5","12,20",3
Summe,,1,,Summe,,8
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Albert, Felix","2,4","9,40",0,,"Kimmerle, Felix","2,7","10,75",4
"Bouchi, Rayan","2,5","9,50",0,,"von Kirn, Julian","2,4","9,45",0
"Hechtl, Dominik","2,9","10,45",3,,"Drechsel, Manuel","2,6","9,50",0
"Trattnig, Stephan","2,4","10,30",0,,"Ruf, Elias","2,9","10,75",2
Summe,,3,,Summe,,6
Gesamt,,15,,Gesamt,,50
