Datum,Wettkampf,Gerät,Mannschaft,Turner,D-Note,Endwert,Score
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,Grötzingen-Karlsruhe,"Kramer, Julius","3,8","12,10",1
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,KTT Heilbronn,"Späth, Fabian","3,6","11,85",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,Grötzingen-Karlsruhe,"Bertsch, Julian","3,4","11,15",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,KTT Heilbronn,"Thiele, Moritz","3,4","11,75",3
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,Grötzingen-Karlsruhe,"Weiss, Sverre","3,9","10,35",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,KTT Heilbronn,"Hofmann, Jakob","3,9","11,90",4
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,Grötzingen-Karlsruhe,"Steele, Adam","4,4","13,30",4
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Boden,KTT Heilbronn,"Schaaf, Jonas","3,7","12,05",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,Grötzingen-Karlsruhe,"Brücher, Björn","2,6","9,85",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,KTT Heilbronn,"Konrad, Joshua","2,7","10,55",3
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,Grötzingen-Karlsruhe,"Steele, Adam","4,9","13,50",5
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,KTT Heilbronn,"Hofmann, Jakob","3,5","11,40",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,05",4
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,KTT Heilbronn,"Schuster, Axel","2,6","8,40",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,Grötzingen-Karlsruhe,"Parkin, Nikolai","2,6","6,95",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Pferd,KTT Heilbronn,"Binder, Julius","2,7","9,25",5
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,Grötzingen-Karlsruhe,"Huber, Leo","2,9","9,40",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,KTT Heilbronn,"Staufert, Colin","2,6","9,50",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,Grötzingen-Karlsruhe,"Roth, Tobias","2,3","4,45",5
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,KTT Heilbronn,"Payer, Stefan","1,7","1,15",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,Grötzingen-Karlsruhe,"Steele, Adam","3,7","12,55",5
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,KTT Heilbronn,"Storz, Patrick","3,0","10,25",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,Grötzingen-Karlsruhe,"Brücher, Björn","2,9","10,75",2
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Ringe,KTT Heilbronn,"Schaaf, Jonas","2,7","10,25",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,Grötzingen-Karlsruhe,"Kramer, Julius","3,2","11,80",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,KTT Heilbronn,"Binder, Julius","3,2","12,05",1
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,Grötzingen-Karlsruhe,"Eder, Neyén Eitan","3,2","11,85",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,KTT Heilbronn,"Hofmann, Jakob","4,0","12,20",2
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,Grötzingen-Karlsruhe,"Huber, Leo","2,8","11,55",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,KTT Heilbronn,"Späth, Fabian","3,2","11,75",1
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,Grötzingen-Karlsruhe,"Schneider, Sebastian","3,2","11,65",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Sprung,KTT Heilbronn,"Thiele, Moritz","3,2","11,85",1
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","11,00",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,KTT Heilbronn,"Hofmann, Jakob","3,4","11,65",3
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,Grötzingen-Karlsruhe,"Huber, Leo","3,0","11,30",1
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,KTT Heilbronn,"Schuster, Axel","2,6","11,10",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,Grötzingen-Karlsruhe,"Kramer, Julius","2,4","10,65",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,KTT Heilbronn,"Storz, Patrick","2,4","11,20",3
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,Grötzingen-Karlsruhe,"Steele, Adam","4,2","12,95",4
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Barren,KTT Heilbronn,"Staufert, Colin","2,4","11,40",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,Grötzingen-Karlsruhe,"Steele, Adam","3,5","11,40",4
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,KTT Heilbronn,"Schuster, Axel","2,1","10,35",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,Grötzingen-Karlsruhe,"Hanke, Thomas","2,1","3,25",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,KTT Heilbronn,"Schaaf, Jonas","2,8","10,90",10
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,80",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,KTT Heilbronn,"Hofmann, Jakob","2,5","10,70",0
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,Grötzingen-Karlsruhe,"Weiss, Sverre","3,0","10,85",3
11.11.2023,Grötzingen-Karlsruhe - KTT Heilbronn,Reck,KTT Heilbronn,"Thiele, Moritz","2,4","10,25",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,Grötzingen-Karlsruhe,"Kramer, Julius","3,9","10,95",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,TG Wangen-Eisenharz,"Mittmann, Moritz","3,3","11,70",3
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,Grötzingen-Karlsruhe,"Brücher, Björn","3,1","10,10",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,TG Wangen-Eisenharz,"von Kirn, Julian","3,9","11,20",4
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,Grötzingen-Karlsruhe,"Weiss, Sverre","3,9","11,85",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,TG Wangen-Eisenharz,"Ruchti, Finn","3,9","12,10",1
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,Grötzingen-Karlsruhe,"Schneider, Sebastian","3,3","9,65",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Boden,TG Wangen-Eisenharz,"Drechsel, Manuel","4,0","12,40",5
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,Grötzingen-Karlsruhe,"Rudat, Jens","2,8","7,75",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,TG Wangen-Eisenharz,"Ruf, Elias","2,7","10,40",5
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,Grötzingen-Karlsruhe,"Brücher, Björn","2,6","8,80",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,TG Wangen-Eisenharz,"Kimmerle, Felix","3,1","9,95",4
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,Grötzingen-Karlsruhe,"Kramer, Julius","2,4","5,85",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,TG Wangen-Eisenharz,"Schober, Pascal","4,4","12,60",10
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,Grötzingen-Karlsruhe,"Richter, Marco","2,6","10,45",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Pferd,TG Wangen-Eisenharz,"Mittmann, Moritz","4,2","12,65",5
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,Grötzingen-Karlsruhe,"Brücher, Björn","2,9","10,60",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,TG Wangen-Eisenharz,"Teiber, Jakob","3,5","11,10",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,Grötzingen-Karlsruhe,"Huber, Leo","2,9","10,60",0
